Acre,"25527676,74","11315728,42","36843405,16"
Alagoas,"69711553,29","109262826,01","178974379,3"
Amap�,"29947740,35","12776754,29","42724494,64"
Amazonas,"81150373,12",47868734,"129019107,12"
Bahia,"254088579,64","307099268,26","561187847,9"
Cear�,"156025963,35","218388412,43","374414375,78"
Distrito Federal,"89666082,27","1439965395,09","1529631477,36"
Esp�rito Santo,"171541009,48","75594662,95","247135672,43"
Goi�s,"103454587,86","214675522,39","318130110,25"
Maranh�o,"128566959,15","141704346,88","270271306,03"
Mato Grosso,"66830851,9","118236049,49","185066901,39"
Mato Grosso do Sul,"39368429,16","82864492,82","122232921,98"
Minas Gerais,"113563694,97","884452379,54","998016074,51"
Par�,"115954749,8","106142428,21","222097178,01"
Para�ba,"74818457,68","134000646,34","208819104,02"
Paran�,"172258526,14","321868372,08","494126898,22"
Pernambuco,"249041379,95","164356442,46","413397822,41"
Piau�,"40666289,78","121696851,38","162363141,16"
Rio de Janeiro,"93224639,88","348581984,95","441806624,83"
Rio Grande do Norte,"77757312,42","102715432,96","180472745,38"
Rio Grande do Sul,"183078380,27","303650500,38","486728880,65"
Rond�nia,"41182753,53","33186460,22","74369213,75"
Roraima,"30363277,92","10702464,79","41065742,71"
Santa Catarina,"102270130,43","250286148,09","352556278,52"
S�o Paulo,"632992595,06","1112154308,35","1745146903,41"
Sergipe,"54212654,96","38799558,34","93012213,3"
Tocantins,"29219332,02","38266546,42","67485878,44"
Localidade n�o informada,0,0,0
Exterior,0,0,0
Multigovernamentais,0,0,0
Total,"3226483981,12","6750612717,54","9977096698,66"
